Channel_1,Channel_2,Channel_3,Channel_4,Channel_5,Channel_6,Channel_7,Channel_8,Output
198,445,184,562,856,159,130,115,1
236,569,181,526,816,164,137,118,1
292,581,196,571,825,171,170,148,1
289,605,199,548,774,180,173,144,1
294,650,196,547,651,144,174,144,1
277,630,182,459,594,138,165,128,1
263,559,168,439,531,129,164,128,1
203,504,165,446,549,169,135,97,1
218,483,171,433,574,152,124,99,1
203,426,176,405,522,152,128,99,1
198,468,192,441,611,152,145,96,1
208,522,203,442,616,153,150,95,1
204,573,179,341,652,100,134,86,1
206,621,185,439,653,104,138,87,1
213,629,187,443,670,101,127,84,1
219,585,164,451,676,99,108,86,1
195,520,148,463,675,100,101,80,1
208,585,148,474,557,129,103,83,1
193,525,168,392,563,126,97,81,1
181,495,158,380,568,134,107,81,1
173,517,160,336,461,133,116,85,1
181,500,164,342,464,137,115,90,1
153,361,160,337,498,108,109,83,1
148,375,113,318,472,108,118,90,1
163,373,129,314,431,102,113,93,1
163,340,135,297,477,129,106,90,1
149,345,128,266,475,123,99,83,1
172,370,144,231,452,120,103,91,1
172,353,180,223,442,125,108,85,1
159,345,212,259,474,142,110,83,1
162,363,212,296,423,116,113,82,1
192,380,216,353,412,135,131,90,1
209,432,207,369,430,143,127,91,1
204,429,182,356,433,133,123,88,1
206,423,145,316,365,107,148,89,1
207,436,143,331,493,117,145,90,1
186,447,145,257,520,101,143,102,1
147,379,145,266,552,103,156,95,1
146,386,151,295,576,111,167,106,1
145,442,161,374,578,119,149,103,1
145,419,160,388,498,122,170,106,1
154,374,160,411,510,119,167,95,1
171,409,185,388,471,107,166,91,1
186,396,173,379,420,107,151,79,1
182,342,159,327,445,129,158,84,1
184,349,159,266,431,121,148,94,1
170,374,155,229,424,122,144,87,1
151,320,122,223,409,129,148,90,1
173,412,143,200,421,127,150,97,1
171,422,137,166,386,96,137,95,1
169,507,192,188,383,90,127,83,1
185,509,214,183,347,107,140,90,1
184,555,226,186,332,108,140,96,1
163,513,222,256,429,109,136,94,1
188,511,242,255,427,110,147,101,1
188,465,212,236,407,128,159,100,1
184,478,199,264,410,117,149,95,1
179,474,192,274,444,114,145,89,1
164,462,197,218,350,116,145,79,1
163,483,194,243,393,139,161,76,1
155,440,185,251,431,127,150,78,1
154,428,175,252,430,127,158,87,1
178,435,186,249,409,127,150,90,1
182,456,181,243,396,120,153,95,1
